Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ACTION1,SW_MEC_5E,SW_Push_1P1T_XKB_TS-1187A,137.651,-124.918002,180.0,top
C1,0.1uF,C_0805_2012Metric,144.546,-119.78175,180.0,top
C2,10uF,C_0805_2012Metric,123.893,-87.913002,-90.0,top
C3,10uF,C_0805_2012Metric,130.655,-93.151252,-90.0,top
C4,10uF,C_0805_2012Metric,128.446,-93.13175,-90.0,top
C5,0.1uF,C_0805_2012Metric,148.821,-111.63175,0.0,top
C6,0.1uF,C_0805_2012Metric,121.193,-87.913002,-90.0,top
C12,1uF,C_0805_2012Metric,148.023,-91.489002,-90.0,top
C13,1uF,C_0805_2012Metric,154.123,-91.689002,-90.0,top
D2,LED,LED_0603_1608Metric,131.696,-96.63175,-90.0,top
D3,1N4148W,D_SOD-123,152.396,-102.33175,90.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,152.423,-79.799002,180.0,top
J3,5024940670,Molex_CLIK-Mate_502494-0670_1x06-1MP_P2.00mm_Horizontal,128.573,-79.689002,180.0,top
Q1,AO3400A,SOT-23,151.756,-119.08175,180.0,top
Q2,AO3400A,SOT-23,151.736,-114.96175,180.0,top
Q3,AO3400A,SOT-23,140.2935,-96.715502,0.0,top
Q5,AO3400A,SOT-23,149.711,-96.803002,0.0,top
R1,10k,R_0805_2012Metric,144.546,-117.53175,0.0,top
R2,120,R_0805_2012Metric,140.823,-90.289002,-90.0,top
R3,4k7,R_0805_2012Metric,134.523,-96.389002,-90.0,top
R4,5.1k,R_0805_2012Metric,156.4635,-85.63175,0.0,top
R5,5.1k,R_0805_2012Metric,149.873,-85.63175,180.0,top
R8,5.1k,R_0805_2012Metric,129.696,-96.63175,-90.0,top
R9,4.7k,R_0805_2012Metric,126.393,-87.863002,-90.0,top
R10,4.7k,R_0805_2012Metric,128.793,-87.863002,-90.0,top
R11,10k,R_0805_2012Metric,148.561,-101.563002,0.0,top
R12,4.7k,R_0805_2012Metric,155.106,-119.11175,90.0,top
R13,4.7k,R_0805_2012Metric,148.326,-114.98175,90.0,top
R14,4.7k,R_0805_2012Metric,155.076,-114.95175,90.0,top
R16,10k,R_0805_2012Metric,143.401,-96.695502,-90.0,top
R17,10k,R_0805_2012Metric,146.571,-96.803002,-90.0,top
R18,10k,R_0805_2012Metric,137.121,-96.695502,-90.0,top
R19,4.7k,R_0805_2012Metric,148.396,-119.03175,90.0,top
R20,10k,R_0805_2012Metric,152.911,-96.823002,-90.0,top
RESET1,SW_MEC_5E,SW_Push_1P1T_XKB_TS-1187A,149.261,-124.913002,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,122.946,-94.63175,180.0,top
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,135.673,-91.539002,0.0,top
U3,D3V3XA4B10LP,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,153.163,-85.63175,90.0,top
U5,ICM-20948,QFN24_3X3X0P9_IVS,148.301,-107.383002,0.0,top
U7,TLV70018_SOT23-5,SOT-23-5,151.083,-91.569002,-90.0,top
